path	1
T	NA
cut	89
Partition 1	1099,1101,1106,1113,1112,1105
Partition 2	1047
Partition 3	1103
Partition 4	1038,1096,1035
Partition 5	1102,1115,1116
Partition 6	1033,1100,1095,1097,1110,1148,1141
Partition 7	1070,1067,1068
Partition 8	1064,1065,1107,1108,1109,1030,1062,1063
Partition 9	1111
Partition 10	1061,1069
Partition 11	1037,1048
Partition 12	1060,1058,1104,1057,1059
Partition 13	1052,1050
Partition 14	1032,1051,1055,1145,1053
Partition 15	1071,1073,1074,1072
Partition 16	1054,1046
Partition 17	1056,1045,1031
Partition 19	1039,1077,1078,1079,1066,1075,1076
Partition 20	1041,1081
Partition 21	1128
Partition 22	1136,1138
Partition 23	1093,1094,1134,1133,1135,1137,1131,1132
Partition 24	1129,1118
Partition 25	1119
Partition 26	1042,1120,1121,1122
Partition 27	1040,1123
Partition 28	1126,1130
Partition 29	1127,1114,1117
Partition 30	1152,1151,1153,1154,1149,1150,1147,1089
Partition 31	1139
Partition 33	1159,1160,1144
Partition 34	1146,1156,1155,1157,1158
Partition 35	1082,1083,1087
Partition 36	1084,1043,1085,1088,1086,1140
Partition 37	1143,1142
Partition 38	1036,1091,1092
Partition 40	1124,1125
Partition 41	1044
Partition 42	1034
Partition 43	1049
Partition 44	1090
Partition 45	1098
Partition 51	1080
