path	1
T	NA
cut	7
Partition 0	802,809,801,805,808,806
Partition 1	799,804,807,798,803,796
Partition 2	810,800,811,819,818,820
Partition 3	797,812,814,815,813,816,817
path	2
T	NA
cut	7
Partition 0	802,809,801,805,808,806
Partition 1	799,804,807,798,803,796
Partition 2	810,800,811,819,818,820
Partition 3	797,812,814,815,813,816,817
path	3
T	NA
cut	7
Partition 0	802,809,801,805,808,806
Partition 1	799,804,807,798,803,796
Partition 2	810,800,811,819,818,820
Partition 3	797,812,814,815,813,816,817
path	4
T	NA
cut	7
Partition 0	802,809,801,805,808,806
Partition 1	799,804,807,798,803,796
Partition 2	810,800,811,819,818,820
Partition 3	797,812,814,815,813,816,817
path	5
T	NA
cut	7
Partition 0	802,809,801,805,808,806
Partition 1	799,804,807,798,803,796
Partition 2	810,800,811,819,818,820
Partition 3	797,812,814,815,813,816,817
