path	1
T	NA
cut	96
Partition 0	1095,1110
Partition 1	1108,1109,1063
Partition 2	1102,1115,1116
Partition 3	1033,1100,1099,1101,1097,1098
Partition 5	1067,1068
Partition 6	1107,1111
Partition 7	1038,1096,1035
Partition 8	1030,1062
Partition 9	1105
Partition 10	1103,1104,1056,1057
Partition 11	1079
Partition 12	1078,1075,1076
Partition 13	1039,1077
Partition 14	1073,1074,1072
Partition 15	1045,1046,1031
Partition 17	1061,1064,1069,1065,1048,1047,1066,1034
Partition 19	1051,1052,1053,1060,1049,1050,1059
Partition 20	1055,1037
Partition 21	1071,1070
Partition 23	1090,1147,1089
Partition 24	1036,1091,1092,1142
Partition 25	1084,1043,1085,1086,1140,1138
Partition 26	1082,1083
Partition 27	1087,1088
Partition 28	1148,1141
Partition 29	1151,1153,1154
Partition 30	1149,1150
Partition 31	1159,1160,1144
Partition 32	1146,1156,1155,1157,1158
Partition 33	1143
Partition 34	1080,1041,1081
Partition 36	1134,1137
Partition 37	1136,1133,1128,1131
Partition 39	1093,1094,1135,1132
Partition 40	1126
Partition 41	1106
Partition 42	1130
Partition 43	1125,1129
Partition 44	1119,1044
Partition 45	1042,1120,1121,1122
Partition 47	1127,1113,1114,1117,1118
Partition 48	1124
Partition 50	1040,1123
Partition 51	1139
Partition 54	1152
Partition 55	1112
Partition 56	1054
Partition 57	1032,1145
Partition 58	1058
