targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5	0	5	18	lc	True	True	True	True	3	3	6	6
5	1	5	18	lc	True	True	True	True	3	3	6	6
5	2	5	18	lc	True	True	True	True	3	3	6	6
5	3	5	18	lc	True	True	True	True	3	3	6	6
5	4	5	18	lc	True	True	True	True	3	3	6	6
5	5	5	18	lc	True	True	True	True	3	3	6	6
8	0	8	18	lc	True	True	True	True	3	3	9	9
8	1	8	18	lc	True	True	True	True	3	3	9	9
8	2	8	18	lc	True	True	True	True	3	3	9	9
8	3	8	18	lc	True	True	True	True	3	3	9	9
8	4	8	18	lc	True	True	True	True	3	3	9	9
8	5	8	18	lc	True	True	True	True	3	3	9	9
3	0	3	18	lc	True	True	True	True	2	2	4	4
3	1	3	18	lc	True	True	True	True	2	2	4	4
3	2	3	18	lc	True	True	True	True	2	2	4	4
3	3	3	18	lc	True	True	True	True	2	2	4	4
3	4	3	18	lc	True	True	True	True	2	2	4	4
3	5	3	18	lc	True	True	True	True	2	2	4	4
2	0	2	18	lc	True	True	True	True	1	1	3	3
2	1	2	18	lc	True	True	True	True	1	1	3	3
2	2	2	18	lc	True	True	True	True	1	1	3	3
2	3	2	18	lc	True	True	True	True	1	1	3	3
2	4	2	18	lc	True	True	True	True	1	1	3	3
2	5	2	18	lc	True	True	True	True	1	1	3	3
6	0	6	18	lc	True	True	True	True	3	3	8	8
6	1	6	18	lc	True	True	True	True	3	3	8	8
6	2	6	18	lc	True	True	True	True	3	3	8	8
6	3	6	18	lc	True	True	True	True	3	3	8	8
6	4	6	18	lc	True	True	True	True	3	3	8	8
6	5	6	18	lc	True	True	True	True	3	3	8	8
11	0	11	18	lc	True	True	True	True	3	3	12	12
11	1	11	18	lc	True	True	True	True	3	3	12	12
11	2	11	18	lc	True	True	True	True	3	3	12	12
11	3	11	18	lc	True	True	True	True	3	3	12	12
11	4	11	18	lc	True	True	True	True	3	3	12	12
11	5	11	18	lc	True	True	True	True	3	3	12	12
4	0	4	18	lc	True	True	True	True	2	2	5	5
4	1	4	18	lc	True	True	True	True	2	2	5	5
4	2	4	18	lc	True	True	True	True	2	2	5	5
4	3	4	18	lc	True	True	True	True	2	2	5	5
4	4	4	18	lc	True	True	True	True	2	2	5	5
4	5	4	18	lc	True	True	True	True	2	2	5	5
10	0	10	18	lc	True	True	True	True	4	4	11	11
10	1	10	18	lc	True	True	True	True	4	4	11	11
10	2	10	18	lc	True	True	True	True	4	4	11	11
10	3	10	18	lc	True	True	True	True	4	4	11	11
10	4	10	18	lc	True	True	True	True	4	4	11	11
10	5	10	18	lc	True	True	True	True	4	4	11	11
7	3	7	18	lc	False	True	False	True	4	4	10	8
9	0	9	18	lc	True	True	True	True	3	3	10	10
9	1	9	18	lc	True	True	True	True	3	3	10	10
9	2	9	18	lc	True	True	True	True	3	3	10	10
9	3	9	18	lc	True	True	True	True	3	3	10	10
9	4	9	18	lc	True	True	True	True	3	3	10	10
9	5	9	18	lc	True	True	True	True	3	3	10	10
