targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5	1	6	31	lc	True	True	False	True	3	2	7	7
5	2	6	31	lc	True	True	False	True	3	2	7	7
5	3	6	31	lc	True	True	False	True	3	2	7	7
5	4	6	31	lc	True	True	False	True	3	2	7	7
8	4	10	31	lc	False	True	False	True	4	3	12	11
12	1	12	31	lc	True	True	False	True	4	4	14	13
12	2	12	31	lc	True	True	False	True	4	4	14	13
12	3	12	31	lc	True	True	False	True	4	4	14	13
12	4	12	31	lc	True	True	False	True	4	4	14	13
12	5	12	31	lc	True	True	False	True	4	4	14	13
6	0	6	31	lc	True	True	True	True	3	3	7	7
6	1	6	31	lc	True	True	True	True	3	3	7	7
6	2	6	31	lc	True	True	True	True	3	3	7	7
6	3	6	31	lc	True	True	True	True	3	3	7	7
6	4	6	31	lc	True	True	True	True	3	3	7	7
6	5	6	31	lc	True	True	True	True	3	3	7	7
11	0	11	31	lc	True	True	True	True	3	3	12	12
11	1	11	31	lc	True	True	True	True	3	3	12	12
11	2	11	31	lc	True	True	True	True	3	3	12	12
11	3	11	31	lc	True	True	True	True	3	3	12	12
11	4	11	31	lc	True	True	True	True	3	3	12	12
11	5	11	31	lc	True	True	True	True	3	3	12	12
13	0	13	31	lc	True	True	True	True	4	4	15	15
13	1	13	31	lc	True	True	True	True	4	4	15	15
13	2	13	31	lc	True	True	True	True	4	4	15	15
13	3	13	31	lc	True	True	True	True	4	4	15	15
13	4	13	31	lc	True	True	True	True	4	4	15	15
13	5	13	31	lc	True	True	True	True	4	4	15	15
4	2	6	31	lc	True	True	False	True	2	2	5	5
4	3	6	31	lc	True	True	False	True	2	2	5	5
10	0	10	31	lc	True	True	True	True	3	3	11	11
10	1	10	31	lc	True	True	True	True	3	3	11	11
10	2	10	31	lc	True	True	True	True	3	3	11	11
10	3	10	31	lc	True	True	True	True	3	3	11	11
10	4	10	31	lc	True	True	True	True	3	3	11	11
10	5	10	31	lc	True	True	True	True	3	3	11	11
7	0	7	31	lc	True	True	True	True	3	3	9	9
7	1	7	31	lc	True	True	True	True	3	3	9	9
7	2	7	31	lc	True	True	True	True	3	3	9	9
7	3	7	31	lc	True	True	True	True	3	3	9	9
7	4	7	31	lc	True	True	True	True	3	3	9	9
7	5	7	31	lc	True	True	True	True	3	3	9	9
9	4	12	31	lc	True	True	False	True	3	3	11	9
