targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5	0	5	27	lc	True	True	True	True	4	4	8	8
5	1	5	27	lc	True	True	True	True	4	4	8	8
5	2	5	27	lc	True	True	True	True	4	4	8	8
5	3	5	27	lc	True	True	True	True	4	4	8	8
5	4	5	27	lc	True	True	True	True	4	4	8	8
5	5	5	27	lc	True	True	True	True	4	4	8	8
8	0	8	27	lc	True	True	True	True	4	4	10	10
8	1	8	27	lc	True	True	True	True	4	4	10	10
8	2	8	27	lc	True	True	True	True	4	4	10	10
8	3	8	27	lc	True	True	True	True	4	4	10	10
8	4	8	27	lc	True	True	True	True	4	4	10	10
8	5	8	27	lc	True	True	True	True	4	4	10	10
12	0	12	27	lc	True	True	True	True	5	5	15	15
12	1	12	27	lc	True	True	True	True	5	5	15	15
12	2	12	27	lc	True	True	True	True	5	5	15	15
12	3	12	27	lc	True	True	True	True	5	5	15	15
12	4	12	27	lc	True	True	True	True	5	5	15	15
12	5	12	27	lc	True	True	True	True	5	5	15	15
6	4	6	27	lc	True	True	False	True	4	3	8	8
6	5	6	27	lc	True	True	False	True	4	3	8	8
11	1	11	27	lc	True	True	False	True	5	5	14	13
11	2	11	27	lc	True	True	False	True	5	5	14	13
11	3	11	27	lc	True	True	False	True	5	5	14	13
11	4	11	27	lc	True	True	False	True	5	5	14	13
11	5	11	27	lc	True	True	False	True	5	5	14	13
13	0	13	27	lc	True	True	True	True	5	5	15	15
13	1	13	27	lc	True	True	True	True	5	5	15	15
13	2	13	27	lc	True	True	True	True	5	5	15	15
13	3	13	27	lc	True	True	True	True	5	5	15	15
13	4	13	27	lc	True	True	True	True	5	5	15	15
13	5	13	27	lc	True	True	True	True	5	5	15	15
4	0	4	27	lc	True	True	True	True	3	3	6	6
4	1	4	27	lc	True	True	True	True	3	3	6	6
4	2	4	27	lc	True	True	True	True	3	3	6	6
4	3	4	27	lc	True	True	True	True	3	3	6	6
4	4	4	27	lc	True	True	True	True	3	3	6	6
4	5	4	27	lc	True	True	True	True	3	3	6	6
10	0	10	27	lc	True	True	True	True	5	5	14	14
10	1	10	27	lc	True	True	True	True	5	5	14	14
10	2	10	27	lc	True	True	True	True	5	5	14	14
10	3	10	27	lc	True	True	True	True	5	5	14	14
10	4	10	27	lc	True	True	True	True	5	5	14	14
10	5	10	27	lc	True	True	True	True	5	5	14	14
7	1	8	27	lc	False	True	True	True	3	3	10	9
7	4	8	27	lc	False	True	True	True	3	3	10	9
9	0	9	27	lc	True	True	True	True	4	4	12	12
9	1	9	27	lc	True	True	True	True	4	4	12	12
9	2	9	27	lc	True	True	True	True	4	4	12	12
9	3	9	27	lc	True	True	True	True	4	4	12	12
9	4	9	27	lc	True	True	True	True	4	4	12	12
9	5	9	27	lc	True	True	True	True	4	4	12	12
