targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5	1	5	31	lc	True	True	False	True	3	3	9	8
5	3	5	31	lc	True	True	False	True	3	3	9	8
5	4	5	31	lc	True	True	False	True	3	3	9	8
5	5	5	31	lc	True	True	False	True	3	3	9	8
8	0	8	31	lc	True	True	True	True	3	3	11	11
8	1	8	31	lc	True	True	True	True	3	3	11	11
8	2	8	31	lc	True	True	True	True	3	3	11	11
8	3	8	31	lc	True	True	True	True	3	3	11	11
8	4	8	31	lc	True	True	True	True	3	3	11	11
8	5	8	31	lc	True	True	True	True	3	3	11	11
6	2	6	31	lc	False	True	False	True	4	4	10	10
6	3	6	31	lc	False	True	False	True	4	4	10	10
6	5	6	31	lc	False	True	False	True	4	4	10	10
11	0	11	31	lc	True	True	True	True	4	4	14	14
11	1	11	31	lc	True	True	True	True	4	4	14	14
11	2	11	31	lc	True	True	True	True	4	4	14	14
11	3	11	31	lc	True	True	True	True	4	4	14	14
11	4	11	31	lc	True	True	True	True	4	4	14	14
11	5	11	31	lc	True	True	True	True	4	4	14	14
4	1	5	31	lc	True	True	False	True	2	2	7	8
4	3	5	31	lc	True	True	False	True	2	2	7	8
4	5	5	31	lc	True	True	False	True	2	2	7	8
10	0	10	31	lc	True	True	True	True	4	4	13	13
10	1	10	31	lc	True	True	True	True	4	4	13	13
10	2	10	31	lc	True	True	True	True	4	4	13	13
10	3	10	31	lc	True	True	True	True	4	4	13	13
10	4	10	31	lc	True	True	True	True	4	4	13	13
10	5	10	31	lc	True	True	True	True	4	4	13	13
7	0	7	31	lc	True	True	True	True	4	4	10	10
7	1	7	31	lc	True	True	True	True	4	4	10	10
7	2	7	31	lc	True	True	True	True	4	4	10	10
7	3	7	31	lc	True	True	True	True	4	4	10	10
7	4	7	31	lc	True	True	True	True	4	4	10	10
7	5	7	31	lc	True	True	True	True	4	4	10	10
9	0	9	31	lc	True	True	True	True	4	4	12	12
9	1	9	31	lc	True	True	True	True	4	4	12	12
9	2	9	31	lc	True	True	True	True	4	4	12	12
9	3	9	31	lc	True	True	True	True	4	4	12	12
9	4	9	31	lc	True	True	True	True	4	4	12	12
9	5	9	31	lc	True	True	True	True	4	4	12	12
