path	1
T	NA
cut	97
Partition 0	1108,1109,1110
Partition 1	1061,1064,1069,1070,1030,1056,1062,1063
Partition 2	1127,1116,1117
Partition 3	1095,1097,1098
Partition 4	1100,1101
Partition 5	1067,1068
Partition 6	1113,1112,1114
Partition 7	1103
Partition 8	1038,1096,1035
Partition 9	1107,1111
Partition 10	1039,1077
Partition 11	1078,1075,1076
Partition 12	1071,1073,1074,1072
Partition 13	1060,1058,1104,1057,1059
Partition 14	1054,1045,1046,1031
Partition 15	1037,1048,1034
Partition 17	1032,1051,1055,1145
Partition 18	1065,1047,1066
Partition 20	1052,1053,1050
Partition 21	1090,1089
Partition 22	1036,1091,1143,1092,1142,1147,1141
Partition 23	1043,1085
Partition 24	1087,1088
Partition 25	1082,1083,1084
Partition 26	1148,1149
Partition 27	1151,1153,1154,1150
Partition 28	1159,1160,1144
Partition 29	1146,1155
Partition 30	1156,1157,1158
Partition 31	1093,1080,1041,1081
Partition 32	1136,1128,1131
Partition 33	1086,1139
Partition 34	1134,1137
Partition 35	1140
Partition 36	1133
Partition 37	1102,1115
Partition 38	1129,1118
Partition 39	1040,1123,1122
Partition 40	1119,1044
Partition 41	1124,1042,1120,1121
Partition 42	1125,1126
Partition 43	1138
Partition 44	1094
Partition 46	1135,1130,1132
Partition 47	1099,1106,1105
Partition 48	1079
Partition 50	1033,1152
Partition 54	1049
