cut	94
Partition 0	1061,1064,1063
Partition 1	1065,1066
Partition 2	1069,1071,1070
Partition 3	1078,1076,1075
Partition 4	1073,1074,1072
Partition 5	1053,1054
Partition 6	1052,1060,1050
Partition 7	1055,1058,1059
Partition 8	1032,1051,1049,1047
Partition 9	1034,1037,1048
Partition 10	1045,1046,1031
Partition 11	1030,1056,1062
Partition 12	1067,1068
Partition 13	1104,1105,1057
Partition 14	1106,1113,1112,1114
Partition 15	1107,1108,1109
Partition 16	1033,1103,1111
Partition 17	1035,1038,1096
Partition 18	1110,1115,1116
Partition 19	1099,1101,1102
Partition 20	1100,1098,1097,1095
Partition 21	1152,1150,1149
Partition 22	1151,1153,1154
Partition 23	1160,1159,1144
Partition 24	1145,1146,1155
Partition 25	1158,1157,1156
Partition 26	1083,1084,1087
Partition 27	1043,1086,1139
Partition 28	1085,1088,1140
Partition 29	1036,1091,1092
Partition 30	1148,1141,1142
Partition 31	1143,1090,1089,1147
Partition 32	1094,1138,1135
Partition 33	1134,1133,1137
Partition 34	1093,1041,1081
Partition 35	1039,1077,1136
Partition 36	1079,1080,1082
Partition 37	1119,1044
Partition 38	1040,1123,1122
Partition 39	1124,1121,1042,1120
Partition 40	1126,1132,1130
Partition 41	1125,1127,1117
Partition 42	1129,1131,1118,1128
