path	1
T	NA
cut	98
Partition 0	1115,1116,1117
Partition 1	1109,1110
Partition 2	1108,1062,1063
Partition 3	1095,1097,1098
Partition 4	1033,1100,1103,1152,1099,1101,1102
Partition 6	1030,1056
Partition 7	1106,1105
Partition 8	1104,1057
Partition 9	1112,1067,1068
Partition 10	1111
Partition 11	1107,1038,1096,1035
Partition 12	1055,1060,1058,1037,1059
Partition 13	1052,1053
Partition 14	1049,1050
Partition 15	1069,1070
Partition 16	1032,1051,1145,1090,1143,1144
Partition 17	1061,1048,1034
Partition 18	1045,1031
Partition 19	1071,1075,1073,1074,1076,1072
Partition 20	1054,1046
Partition 21	1064,1065
Partition 22	1047,1066
Partition 23	1078,1079
Partition 24	1039,1077,1093
Partition 25	1153,1154
Partition 27	1151,1150
Partition 28	1159,1160
Partition 29	1156,1157,1158
Partition 30	1146,1155
Partition 31	1082,1083
Partition 32	1087,1148,1149,1147,1088,1089
Partition 33	1084,1043,1085
Partition 34	1142
Partition 35	1036,1091,1092
Partition 36	1141
Partition 37	1094,1135
Partition 38	1080
Partition 39	1139,1137
Partition 40	1041,1081
Partition 41	1140,1138
Partition 42	1086
Partition 43	1040,1123,1125
Partition 44	1124,1119,1121,1044
Partition 45	1122
Partition 46	1129,1118
Partition 47	1126,1134,1130,1132
Partition 48	1127,1136,1133,1128,1131
Partition 49	1113,1114
Partition 53	1042,1120
