path	1
T	NA
cut	92
Partition 0	1058,1057
Partition 1	1037,1048,1034
Partition 2	1061,1064
Partition 3	1055,1069,1070,1067,1068
Partition 4	1054,1073,1074
Partition 5	1060,1071,1059
Partition 6	1039,1077,1078,1079,1076
Partition 7	1072
Partition 8	1051,1052,1053,1047,1049,1066,1050
Partition 9	1030,1062,1063
Partition 10	1108,1109,1095,1110
Partition 11	1116,1117,1130
Partition 12	1056,1045,1046,1031
Partition 13	1106,1105
Partition 14	1113,1112,1114
Partition 16	1111
Partition 17	1107,1038,1096,1035
Partition 18	1137
Partition 19	1075
Partition 20	1036
Partition 21	1118,1128
Partition 22	1119,1044
Partition 23	1040,1123,1124,1042,1120,1121,1122
Partition 24	1094,1133,1135,1131
Partition 25	1129,1134,1132
Partition 26	1127
Partition 27	1090,1088,1089
Partition 28	1147
Partition 29	1083,1087
Partition 30	1086,1139
Partition 31	1084,1043,1085
Partition 32	1091,1092,1142
Partition 33	1159,1143,1144
Partition 34	1160
Partition 35	1156,1155,1157,1158
Partition 36	1154
Partition 39	1100,1099,1101,1102,1097,1098,1115
Partition 41	1125,1126
Partition 42	1082
Partition 43	1093,1080,1081
Partition 44	1041
Partition 45	1152,1151,1153,1149,1150
Partition 47	1033,1103,1104
Partition 48	1148,1140,1136,1141,1138
Partition 49	1032,1145,1146
Partition 50	1065
