targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5	3	7	22	lc	False	True	False	True	3	3	10	11
3	1	5	22	lc	False	True	False	True	2	2	6	8
3	3	5	22	lc	False	True	False	True	2	2	6	8
3	4	5	22	lc	False	True	False	True	2	2	6	8
3	5	5	22	lc	False	True	False	True	2	2	6	8
12	0	12	22	lc	True	True	True	True	4	4	17	17
12	1	12	22	lc	True	True	True	True	4	4	17	17
12	2	12	22	lc	True	True	True	True	4	4	17	17
12	3	12	22	lc	True	True	True	True	4	4	17	17
12	4	12	22	lc	True	True	True	True	4	4	17	17
12	5	12	22	lc	True	True	True	True	4	4	17	17
6	5	6	22	lc	False	True	False	True	3	3	11	11
11	0	11	22	lc	True	True	True	True	5	5	16	16
11	1	11	22	lc	True	True	True	True	5	5	16	16
11	2	11	22	lc	True	True	True	True	5	5	16	16
11	3	11	22	lc	True	True	True	True	5	5	16	16
11	4	11	22	lc	True	True	True	True	5	5	16	16
11	5	11	22	lc	True	True	True	True	5	5	16	16
4	1	6	22	lc	False	True	False	True	4	4	9	11
4	2	6	22	lc	False	True	False	True	4	4	9	11
4	3	6	22	lc	False	True	False	True	4	4	9	11
4	4	6	22	lc	False	True	False	True	4	4	9	11
4	5	6	22	lc	False	True	False	True	4	4	9	11
7	0	7	22	lc	True	True	True	True	3	3	12	12
7	1	7	22	lc	True	True	True	True	3	3	12	12
7	2	7	22	lc	True	True	True	True	3	3	12	12
7	3	7	22	lc	True	True	True	True	3	3	12	12
7	4	7	22	lc	True	True	True	True	3	3	12	12
7	5	7	22	lc	True	True	True	True	3	3	12	12
