targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5	1	6	21	lc	True	True	False	True	3	3	7	8
5	2	6	21	lc	True	True	False	True	3	3	7	8
5	4	6	21	lc	True	True	False	True	3	3	7	8
5	5	6	21	lc	True	True	False	True	3	3	7	8
8	4	8	21	lc	True	True	False	True	4	2	13	8
3	0	3	21	lc	True	True	True	True	2	2	4	4
3	1	3	21	lc	True	True	True	True	2	2	4	4
3	2	3	21	lc	True	True	True	True	2	2	4	4
3	3	3	21	lc	True	True	True	True	2	2	4	4
3	4	3	21	lc	True	True	True	True	2	2	4	4
3	5	3	21	lc	True	True	True	True	2	2	4	4
12	0	12	21	lc	True	True	True	True	4	4	14	14
12	1	12	21	lc	True	True	True	True	4	4	14	14
12	2	12	21	lc	True	True	True	True	4	4	14	14
12	3	12	21	lc	True	True	True	True	4	4	14	14
12	4	12	21	lc	True	True	True	True	4	4	14	14
12	5	12	21	lc	True	True	True	True	4	4	14	14
6	4	6	21	lc	False	True	False	True	3	2	9	8
11	0	11	21	lc	True	True	True	True	4	4	13	13
11	1	11	21	lc	True	True	True	True	4	4	13	13
11	2	11	21	lc	True	True	True	True	4	4	13	13
11	3	11	21	lc	True	True	True	True	4	4	13	13
11	4	11	21	lc	True	True	True	True	4	4	13	13
11	5	11	21	lc	True	True	True	True	4	4	13	13
4	5	4	21	lc	False	True	False	True	2	2	7	6
10	0	10	21	lc	True	True	True	True	4	4	13	13
10	1	10	21	lc	True	True	True	True	4	4	13	13
10	2	10	21	lc	True	True	True	True	4	4	13	13
10	3	10	21	lc	True	True	True	True	4	4	13	13
10	4	10	21	lc	True	True	True	True	4	4	13	13
10	5	10	21	lc	True	True	True	True	4	4	13	13
7	1	7	21	lc	True	True	False	True	4	2	10	8
9	0	9	21	lc	True	True	True	True	4	4	11	11
9	1	9	21	lc	True	True	True	True	4	4	11	11
9	2	9	21	lc	True	True	True	True	4	4	11	11
9	3	9	21	lc	True	True	True	True	4	4	11	11
9	4	9	21	lc	True	True	True	True	4	4	11	11
9	5	9	21	lc	True	True	True	True	4	4	11	11
