targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5	0	5	20	lc	True	True	True	True	3	3	6	6
5	1	5	20	lc	True	True	True	True	3	3	6	6
5	2	5	20	lc	True	True	True	True	3	3	6	6
5	3	5	20	lc	True	True	True	True	3	3	6	6
5	4	5	20	lc	True	True	True	True	3	3	6	6
5	5	5	20	lc	True	True	True	True	3	3	6	6
8	0	8	20	lc	True	True	True	True	5	5	10	10
8	1	8	20	lc	True	True	True	True	5	5	10	10
8	2	8	20	lc	True	True	True	True	5	5	10	10
8	3	8	20	lc	True	True	True	True	5	5	10	10
8	4	8	20	lc	True	True	True	True	5	5	10	10
8	5	8	20	lc	True	True	True	True	5	5	10	10
3	0	3	20	lc	True	True	True	True	2	2	4	4
3	1	3	20	lc	True	True	True	True	2	2	4	4
3	2	3	20	lc	True	True	True	True	2	2	4	4
3	3	3	20	lc	True	True	True	True	2	2	4	4
3	4	3	20	lc	True	True	True	True	2	2	4	4
3	5	3	20	lc	True	True	True	True	2	2	4	4
12	0	12	20	lc	True	True	True	True	7	7	13	13
12	1	12	20	lc	True	True	True	True	7	7	13	13
12	2	12	20	lc	True	True	True	True	7	7	13	13
12	3	12	20	lc	True	True	True	True	7	7	13	13
12	4	12	20	lc	True	True	True	True	7	7	13	13
12	5	12	20	lc	True	True	True	True	7	7	13	13
6	0	6	20	lc	True	True	True	True	5	5	7	7
6	1	6	20	lc	True	True	True	True	5	5	7	7
6	2	6	20	lc	True	True	True	True	5	5	7	7
6	3	6	20	lc	True	True	True	True	5	5	7	7
6	4	6	20	lc	True	True	True	True	5	5	7	7
6	5	6	20	lc	True	True	True	True	5	5	7	7
11	0	11	20	lc	True	True	True	True	7	7	12	12
11	1	11	20	lc	True	True	True	True	7	7	12	12
11	2	11	20	lc	True	True	True	True	7	7	12	12
11	3	11	20	lc	True	True	True	True	7	7	12	12
11	4	11	20	lc	True	True	True	True	7	7	12	12
11	5	11	20	lc	True	True	True	True	7	7	12	12
4	0	4	20	lc	True	True	True	True	3	3	5	5
4	1	4	20	lc	True	True	True	True	3	3	5	5
4	2	4	20	lc	True	True	True	True	3	3	5	5
4	3	4	20	lc	True	True	True	True	3	3	5	5
4	4	4	20	lc	True	True	True	True	3	3	5	5
4	5	4	20	lc	True	True	True	True	3	3	5	5
10	0	10	20	lc	True	True	True	True	6	6	11	11
10	1	10	20	lc	True	True	True	True	6	6	11	11
10	2	10	20	lc	True	True	True	True	6	6	11	11
10	3	10	20	lc	True	True	True	True	6	6	11	11
10	4	10	20	lc	True	True	True	True	6	6	11	11
10	5	10	20	lc	True	True	True	True	6	6	11	11
7	0	7	20	lc	True	True	True	True	5	5	9	9
7	1	7	20	lc	True	True	True	True	5	5	9	9
7	2	7	20	lc	True	True	True	True	5	5	9	9
7	3	7	20	lc	True	True	True	True	5	5	9	9
7	4	7	20	lc	True	True	True	True	5	5	9	9
7	5	7	20	lc	True	True	True	True	5	5	9	9
9	2	8	20	lc	True	True	False	True	5	4	11	9
9	5	8	20	lc	True	True	False	True	5	4	11	9
