path	1
T	NA
cut	92
Partition 0	1070
Partition 1	1113,1112
Partition 2	1107,1108,1109,1110,1115,1063,1116
Partition 4	1030,1062
Partition 5	1103,1038,1096,1097,1098,1035
Partition 6	1111
Partition 7	1106,1104,1105
Partition 8	1099,1101
Partition 9	1100
Partition 11	1056,1057
Partition 12	1045,1031
Partition 13	1055,1061,1064,1069,1065,1037,1048,1034
Partition 15	1058,1059
Partition 16	1051,1047,1049,1067,1068
Partition 17	1039,1077,1078,1079,1082,1075,1074,1076
Partition 19	1066
Partition 20	1052,1053
Partition 21	1071,1073,1072
Partition 22	1159,1160,1144
Partition 23	1032,1145,1146,1156,1143
Partition 24	1155,1157,1158
Partition 26	1033,1152,1151,1153,1154,1148,1149,1150
Partition 27	1083,1084,1087,1043,1085,1088,1086
Partition 28	1147,1089
Partition 31	1142,1139,1141
Partition 33	1127
Partition 34	1134,1137
Partition 35	1080,1041,1081
Partition 36	1091,1092,1140,1136,1133,1138,1131
Partition 37	1094,1135
Partition 38	1119,1044
Partition 39	1040,1123
Partition 40	1042,1120,1121,1122
Partition 41	1132
Partition 42	1124,1125,1126,1114,1117,1130
Partition 43	1118,1128
Partition 44	1102,1046
Partition 45	1054
Partition 48	1060
Partition 50	1050
Partition 53	1095
Partition 54	1090
Partition 55	1036
Partition 56	1129
Partition 57	1093
