cut	93
Partition 0	1060,1071,1072
Partition 1	1058,1059,1057
Partition 2	1070,1067,1068
Partition 3	1055,1037,1048
Partition 4	1061,1069,1034
Partition 5	1078,1076,1075
Partition 6	1054,1073,1074
Partition 7	1064,1065,1066
Partition 8	1052,1053,1050
Partition 9	1032,1051,1049,1047
Partition 10	1109,1095,1110
Partition 11	1115,1116
Partition 12	1102,1046
Partition 13	1063,1108,1062
Partition 14	1030,1056,1045,1031
Partition 15	1099,1101,1106,1105
Partition 16	1113,1112,1114
Partition 17	1100,1098,1097
Partition 18	1033,1103,1104
Partition 19	1107,1111,1035,1038,1096
Partition 20	1121,1119,1044
Partition 21	1122,1042,1120
Partition 22	1040,1123,1124
Partition 23	1125,1126,1129,1128
Partition 24	1127,1117,1118,1130
Partition 25	1039,1077,1079
Partition 26	1080,1041,1081
Partition 27	1134,1137,1132
Partition 28	1136,1138,1135
Partition 29	1093,1094,1133,1131
Partition 30	1145,1146,1155
Partition 31	1158,1157,1156
Partition 32	1152,1153,1154
Partition 33	1150,1149,1148
Partition 34	1160,1159,1151
Partition 35	1141,1086,1139
Partition 36	1043,1085,1140
Partition 37	1082,1083,1084,1087,1088
Partition 38	1090,1089,1147
Partition 39	1036,1091,1092
Partition 40	1144,1143,1142
