,node number
42067,39
58805,38
32266,38
65845,37
9210,37
94058,37
90463,37
66979,37
36527,37
44062,36
75086,36
1273,35
91237,35
90460,35
24130,34
43512,34
33649,34
54680,33
65385,33
90373,33
48024,33
15968,33
66234,33
88715,32
2107,32
1397,32
71130,32
26442,32
24542,32
42404,32
57143,31
55865,31
72745,31
68956,31
36413,31
49091,31
57612,31
5556,31
80577,31
57515,31
53065,31
71517,31
6832,30
76407,30
23810,30
21475,30
52531,30
23439,30
78606,29
10607,29
26658,29
76297,29
72312,29
47630,29
14623,29
47017,29
80727,29
12818,29
18087,29
47980,28
92868,28
70658,28
34918,28
24161,28
5603,28
34261,28
90615,28
43950,28
56870,28
39460,27
64931,27
4981,27
54264,27
54207,27
28631,27
71165,27
61042,27
74178,27
42709,27
96930,27
44784,26
79845,26
35490,26
59688,25
65532,25
59988,25
1405,25
92119,25
87839,25
87277,24
98263,24
82006,23
6684,22
61281,22
46310,22
34797,22
65376,22
46493,22
3830,22
90564,21
