,node number
md5Core,157
mux64,0
voter8,0
gray64,0
multiplier,23
parity,8
parity32,0
parity8,0
voter4,0
priority_encoder16,96
voter2,0
RCA64,899
hexDisplay,74
mux8,0
voter16,0
mux16,0
mux4,0
RCA4,59
mux32,0
parity16,0
gray16,0
gray4,0
voter32,0
parity4,0
alu,161
priority_encoder32,303
parity64,0
gray,20
priority_encoder4,11
RCA16,227
gray8,0
