path	1
T	NA
cut	7
Partition 0	800,808,801,802,796
Partition 1	811,812,804,798,805
Partition 2	797,810,799,806,809
Partition 3	814,813,807,803,815,816
path	2
T	NA
cut	7
Partition 0	800,808,801,802,796
Partition 1	811,812,804,798,805
Partition 2	797,810,799,806,809
Partition 3	814,813,807,803,815,816
path	3
T	NA
cut	7
Partition 0	800,808,801,802,796
Partition 1	811,812,804,798,805
Partition 2	797,810,799,806,809
Partition 3	814,813,807,803,815,816
path	4
T	NA
cut	7
Partition 0	800,808,801,802,796
Partition 1	811,812,804,798,805
Partition 2	797,810,799,806,809
Partition 3	814,813,807,803,815,816
path	5
T	NA
cut	7
Partition 0	800,808,801,802,796
Partition 1	811,812,804,798,805
Partition 2	797,810,799,806,809
Partition 3	814,813,807,803,815,816
