path	1
T	NA
cut	9
Partition 0	819,820,821,817,818
Partition 1	805,809,812,824,822,823
Partition 2	797,799,806,807,808,802
Partition 3	814,815,816,798,801,796
Partition 4	804,810,813,811,800,803
path	2
T	NA
cut	9
Partition 0	819,820,821,817,818
Partition 1	805,809,812,824,822,823
Partition 2	797,799,806,807,808,802
Partition 3	814,815,816,798,801,796
Partition 4	804,810,813,811,800,803
path	3
T	NA
cut	9
Partition 0	819,820,821,817,818
Partition 1	805,809,812,824,822,823
Partition 2	797,799,806,807,808,802
Partition 3	814,815,816,798,801,796
Partition 4	804,810,813,811,800,803
path	4
T	NA
cut	9
Partition 0	819,820,821,817,818
Partition 1	805,809,812,824,822,823
Partition 2	797,799,806,807,808,802
Partition 3	814,815,816,798,801,796
Partition 4	804,810,813,811,800,803
path	5
T	NA
cut	9
Partition 0	819,820,821,817,818
Partition 1	805,809,812,824,822,823
Partition 2	797,799,806,807,808,802
Partition 3	814,815,816,798,801,796
Partition 4	804,810,813,811,800,803
