path	1
T	NA
cut	90
Partition 0	1049,1050
Partition 1	1064,1063
Partition 2	1078,1075,1074,1076
Partition 3	1065,1047,1066
Partition 4	1051
Partition 5	1054,1073
Partition 6	1067,1068
Partition 7	1060,1071,1072
Partition 8	1055,1061,1069,1070,1037,1048,1034
Partition 9	1106,1105
Partition 10	1113,1112,1114
Partition 11	1033,1103,1152,1111,1104
Partition 12	1038,1096
Partition 13	1099,1101,1098
Partition 14	1030,1056,1062,1057
Partition 15	1102,1045,1046,1031
Partition 16	1109,1110,1115,1116
Partition 17	1107,1108,1035
Partition 18	1095,1097
Partition 19	1039,1077
Partition 20	1083
Partition 21	1134,1137
Partition 23	1135,1138
Partition 24	1040,1123,1124,1125,1042,1120,1121,1122
Partition 25	1119,1044
Partition 27	1127,1094,1133,1131
Partition 28	1126,1129,1117,1118,1130,1128,1132
Partition 29	1036,1091,1092
Partition 30	1146
Partition 31	1153,1154
Partition 32	1032,1145,1159,1160,1143,1144
Partition 33	1156,1155,1157,1158
Partition 34	1151,1149,1150
Partition 35	1090,1089
Partition 36	1088
Partition 37	1148
Partition 38	1084,1085,1086,1140,1139,1141
Partition 39	1142
Partition 40	1043
Partition 41	1147
Partition 42	1087
Partition 44	1100
Partition 46	1052,1053,1058,1059
Partition 48	1079,1082
Partition 50	1136
Partition 51	1093,1080,1041,1081
