path	1
T	NA
cut	98
Partition 0	1060,1071,1072
Partition 1	1058,1057,1059
Partition 2	1069,1070,1067,1068
Partition 3	1037,1048,1034
Partition 4	1055
Partition 5	1078,1079,1076
Partition 6	1054,1073,1074
Partition 7	1061,1064,1065
Partition 8	1052,1053,1050
Partition 9	1032,1051,1145,1047,1049,1066
Partition 10	1100,1109,1095,1097,1110,1098
Partition 11	1115,1116
Partition 12	1102,1046
Partition 13	1108,1062,1063
Partition 14	1030,1056,1045,1031
Partition 15	1099,1106,1105
Partition 16	1113,1112,1114
Partition 18	1033,1103,1152,1111,1104
Partition 19	1107,1038,1096,1035
Partition 20	1119,1121,1044
Partition 21	1122
Partition 22	1123
Partition 23	1125,1126,1129,1128
Partition 24	1127,1117,1118,1130
Partition 25	1075
Partition 26	1080,1041,1081
Partition 27	1134,1135,1137,1132
Partition 28	1140
Partition 29	1093,1094,1136,1133,1131
Partition 30	1146,1155
Partition 31	1156,1157,1158
Partition 32	1153,1154
Partition 33	1148,1149,1150
Partition 34	1159,1160,1144
Partition 35	1138
Partition 36	1043,1085
Partition 37	1083,1084,1087
Partition 38	1089
Partition 39	1036,1091,1092,1147
Partition 40	1090,1143
Partition 41	1040
Partition 42	1042,1120
Partition 44	1124
Partition 45	1082
Partition 46	1088
Partition 49	1142,1086,1139,1141
Partition 51	1151
Partition 53	1101
Partition 55	1077
Partition 56	1039
