cut	98
Partition 0	1071,1072
Partition 1	1060,1059
Partition 2	1037,1048
Partition 3	1055,1069,1070
Partition 4	1061,1034,1058
Partition 5	1064,1065
Partition 6	1076,1075,1066
Partition 7	1078,1073,1074
Partition 8	1032,1051
Partition 9	1052,1053,1054
Partition 10	1050,1049,1047
Partition 11	1033,1100,1152
Partition 12	1099,1101,1098
Partition 13	1035,1097,1096
Partition 14	1045,1046,1031
Partition 15	1109,1095,1110
Partition 16	1102,1115,1116
Partition 17	1063,1062
Partition 18	1103,1038,1104,1105
Partition 19	1030,1056,1057
Partition 20	1106,1113,1114
Partition 21	1112,1067,1068
Partition 22	1107,1108,1111
Partition 23	1159,1144
Partition 24	1143,1142
Partition 25	1036,1091,1092
Partition 26	1160,1145
Partition 27	1158,1157,1156
Partition 28	1146,1153,1154,1155
Partition 29	1151,1150
Partition 30	1141,1140,1139
Partition 31	1149,1148,1147
Partition 32	1083,1084,1087
Partition 33	1043,1085,1086
Partition 34	1090,1089,1088
Partition 35	1134,1137
Partition 36	1094,1133,1135
Partition 37	1136,1138,1131
Partition 38	1039,1077
Partition 39	1093,1041,1081
Partition 40	1079,1080,1082
Partition 41	1040,1123
Partition 42	1042,1120
Partition 43	1121,1122,1119,1044
Partition 44	1124,1125,1127
Partition 45	1126,1132,1130
Partition 46	1129,1117,1118,1128
