cut	92
Partition 0	1050,1049,1048
Partition 1	1061,1064,1034
Partition 2	1078,1076,1075,1074
Partition 3	1065,1047,1066
Partition 4	1032,1051,1053
Partition 5	1052,1054,1073
Partition 6	1070,1067,1068
Partition 7	1060,1071,1072
Partition 8	1055,1069,1037,1058,1059
Partition 9	1106,1113,1105
Partition 10	1111,1112,1114
Partition 11	1033,1103,1104
Partition 12	1097,1038,1096
Partition 13	1100,1099,1101,1098
Partition 14	1030,1056,1057
Partition 15	1045,1046,1031
Partition 16	1102,1115,1116
Partition 17	1063,1107,1108,1062
Partition 18	1035,1109,1095,1110
Partition 19	1039,1077,1079,1082
Partition 20	1080,1041,1081
Partition 21	1134,1137,1132
Partition 22	1093,1094,1133
Partition 23	1136,1138,1135
Partition 24	1124,1121,1122
Partition 25	1042,1120,1119,1044
Partition 26	1040,1123,1125
Partition 27	1127,1131,1117
Partition 28	1126,1129,1118,1130,1128
Partition 29	1036,1091,1092
Partition 30	1144,1143,1142
Partition 31	1152,1153,1154
Partition 32	1160,1159,1145,1146
Partition 33	1158,1157,1156,1155
Partition 34	1151,1150,1149
Partition 35	1090,1089,1147
Partition 36	1083,1087,1088
Partition 37	1148,1141,1140,1139
Partition 38	1084,1043,1085,1086
