cut	88
Partition 0	1055,1058,1057
Partition 1	1034,1037,1048
Partition 2	1061,1064,1065
Partition 3	1069,1070,1067,1068
Partition 4	1054,1073,1074
Partition 5	1060,1071,1059,1072
Partition 6	1078,1076,1075
Partition 7	1032,1051,1053
Partition 8	1052,1050,1049,1047,1066
Partition 9	1063,1030,1062
Partition 10	1108,1109,1095,1110
Partition 11	1102,1115,1116
Partition 12	1056,1045,1046,1031
Partition 13	1099,1101,1106,1105
Partition 14	1113,1112,1114
Partition 15	1100,1098,1097
Partition 16	1033,1103,1104
Partition 17	1107,1111,1035,1038,1096
Partition 18	1080,1041,1081
Partition 19	1039,1077,1079,1093
Partition 20	1136,1138,1135
Partition 21	1094,1134,1133,1137
Partition 22	1124,1119,1044
Partition 23	1121,1122,1042,1120
Partition 24	1040,1123,1127,1131
Partition 25	1125,1129,1132,1118
Partition 26	1126,1117,1130,1128
Partition 27	1090,1089,1147
Partition 28	1150,1149,1148
Partition 29	1082,1083,1084
Partition 30	1141,1086,1140,1139
Partition 31	1087,1043,1085,1088
Partition 32	1036,1091,1092
Partition 33	1159,1144,1143,1142
Partition 34	1160,1145,1146
Partition 35	1158,1157,1156,1155
Partition 36	1152,1151,1153,1154
